reading_id,voltage_v,expected
1,2.51,FAIL
2,3.12,PASS
3,2.77,FAIL
4,3.26,PASS
5,3.03,PASS
6,3.78,PASS
7,3.26,PASS
8,3.97,PASS
9,3.97,PASS
10,4.26,FAIL
11,3.46,PASS
12,3.41,PASS
13,3.05,PASS
14,3.15,PASS
15,6.12,CRITICAL
16,3.85,PASS
17,3.27,PASS
18,3.1,PASS
19,3.12,PASS
20,3.76,PASS
21,3.44,PASS
22,3.32,PASS
23,1.61,CRITICAL
24,3.29,PASS
25,3.32,PASS
26,5.72,CRITICAL
27,1.93,CRITICAL
28,4.87,CRITICAL
29,3.6,PASS
30,1.6,CRITICAL
31,3.67,PASS
32,3.7,PASS
33,0.99,CRITICAL
34,3.11,PASS
35,3.13,PASS
36,2.89,FAIL
37,3.72,PASS
38,3.3,PASS
39,4.13,PASS
40,4.47,FAIL
41,2.67,FAIL
42,4.14,PASS
43,0.66,CRITICAL
44,3.13,PASS
45,2.91,FAIL
46,3.92,PASS
47,3.93,PASS
48,3.0,PASS
49,3.02,PASS
50,9.08,CRITICAL
51,3.29,PASS
52,3.09,PASS
53,2.9,FAIL
54,3.57,PASS
55,3.32,PASS
56,1.05,CRITICAL
57,4.4,FAIL
58,3.62,PASS
59,3.27,PASS
60,3.71,PASS
61,3.26,PASS
62,3.76,PASS
63,4.09,PASS
64,5.82,CRITICAL
65,3.16,PASS
66,7.1,CRITICAL
67,5.04,CRITICAL
68,3.49,PASS
69,0.13,CRITICAL
70,3.87,PASS
71,5.56,CRITICAL
72,3.22,PASS
73,4.05,PASS
74,3.97,PASS
75,0.24,CRITICAL
76,2.31,CRITICAL
77,3.58,PASS
78,2.25,CRITICAL
79,8.81,CRITICAL
80,3.84,PASS
81,4.4,FAIL
82,3.36,PASS
83,7.49,CRITICAL
84,3.7,PASS
85,4.02,PASS
86,4.15,PASS
87,3.22,PASS
88,3.81,PASS
89,3.14,PASS
90,0.61,CRITICAL
91,3.7,PASS
92,4.12,PASS
93,3.86,PASS
94,3.47,PASS
95,2.65,FAIL
96,3.75,PASS
97,3.12,PASS
98,3.61,PASS
99,3.42,PASS
100,3.29,PASS
